slug,province,population,total_cases,incident_rate,total_deaths,fatality_rate,year
special-region-of-aceh,Aceh,5001953,1509,30.17,6,0.4,2015
north-sumatera,Sumatera Utara,13937797,5274,37.84,30,0.57,2015
west-sumatera,Sumatera Barat,5196289,3806,73.24,22,0.58,2015
riau,Riau,6344402,3261,51.4,22,0.67,2015
jambi,Jambi,3402052,1354,39.8,8,0.59,2015
south-sumatera,Sumatera Selatan,8052315,3396,42.17,16,0.47,2015
bengkulu,Bengkulu,1874944,1003,53.49,20,1.99,2015
lampung,Lampung,8117268,3145,38.74,32,1.02,2015
bangka-belitung-islands,Bangka Belitung,1372813,623,45.38,6,0.96,2015
riau-islands,Kepulauan Riau,1973043,1795,90.98,16,0.89,2015
jakarta-special-capital-region,DKI Jakarta,10177924,4954,48.67,11,0.22,2015
west-java,Jawa Barat,46709569,21237,45.47,14,0.07,2015
central-java,Jawa Tengah,33774141,16398,48.55,255,1.56,2015
special-region-of-yogyakarta,Yogyakarta,3679176,3420,92.96,35,1.02,2015
east-java,Jawa Timur,38847561,20138,51.84,283,1.41,2015
banten,Banten,11955243,3011,25.19,43,1.43,2015
bali,Bali,4152833,10704,257.75,28,0.26,2015
west-nusa-tenggara,Nusa Tenggara Barat,4835577,1252,25.89,5,0.4,2015
east-nusa-tenggara,Nusa Tenggara Timur,5120061,506,9.88,1,0.2,2015
west-kalimantan,Kalimantan Barat,4789574,1115,23.28,15,1.35,2015
central-kalimantan,Kalimantan Tengah,2495035,1502,60.2,10,0.67,2015
south-kalimantan,Kalimantan Selatan,3989793,3668,91.93,40,1.09,2015
east-kalimantan,Kalimantan Timur,3426638,6458,188.46,65,1.01,2015
north-kalimantan,Kalimantan Utara,641936,719,112,2,0.28,2015
north-sulawesi,Sulawesi Utara,2412118,730,30.26,17,2.33,2015
central-sulawesi,Sulawesi Tengah,2876689,1571,54.61,13,0.83,2015
south-sulawesi,Sulawesi Selatan,8520304,3974,46.64,19,0.48,2015
southeast-sulawesi,Sulawesi Tenggara,2499540,1500,60.01,9,0.6,2015
gorontalo,Gorontalo,1133237,231,20.38,14,6.06,2015
west-sulawesi,Sulawesi Barat,1282162,486,37.9,0,0,2015
maluku,Maluku,1686469,78,4.63,6,7.69,2015
north-maluku,Maluku Utara,1162345,119,10.24,2,1.68,2015
special-region-of-west-papua,Papua Barat,871510,66,7.57,3,4.55,2015
special-region-of-papua,Papua,3149375,647,20.54,3,0.46,2015
