slug,province,population,total_cases,incident_rate,total_deaths,fatality_rate,year
special-region-of-aceh,Aceh,4726001,1369,28.97,13,0.95,2013
north-sumatera,Sumatera Utara,12893642,3223,25,12,0.37,2013
west-sumatera,Sumatera Barat,4730613,2206,46.63,16,0.73,2013
riau,Riau,6143674,1398,22.76,11,0.79,2013
jambi,Jambi,3249012,638,19.64,18,2.82,2013
south-sumatera,Sumatera Selatan,7593425,1436,18.91,3,0.21,2013
bengkulu,Bengkulu,1821649,414,22.73,0,0,2013
lampung,Lampung,7049523,4573,64.87,45,0.98,2013
bangka-belitung-islands,Bangka Belitung,1266391,741,58.51,20,2.7,2013
riau-islands,Kepulauan Riau,1941159,913,47.03,7,0.77,2013
jakarta-special-capital-region,DKI Jakarta,9761992,10156,104.04,20,0.2,2013
west-java,Jawa Barat,45736365,23118,50.55,162,0.7,2013
central-java,Jawa Tengah,36745961,15144,41.21,182,1.2,2013
special-region-of-yogyakarta,Yogyakarta,3457491,3319,95.99,16,0.48,2013
east-java,Jawa Timur,38054487,14895,39.14,156,1.05,2013
banten,Banten,10690278,3977,37.2,30,0.75,2013
bali,Bali,4043773,6813,168.48,5,0.07,2013
west-nusa-tenggara,Nusa Tenggara Barat,4058506,1703,41.96,5,0.29,2013
east-nusa-tenggara,Nusa Tenggara Timur,4804719,449,9.34,10,2.23,2013
west-kalimantan,Kalimantan Barat,4249142,775,18.24,13,1.68,2013
central-kalimantan,Kalimantan Tengah,2393471,1035,43.24,7,0.68,2013
south-kalimantan,Kalimantan Selatan,3449117,1085,31.46,11,1.01,2013
east-kalimantan,Kalimantan Timur,3874580,3593,92.73,29,0.81,2013
north-kalimantan,Kalimantan Utara,0,0,0,0,0,2013
north-sulawesi,Sulawesi Utara,2265937,1151,50.8,9,0.78,2013
central-sulawesi,Sulawesi Tengah,2660974,1778,66.82,11,0.62,2013
south-sulawesi,Sulawesi Selatan,8386763,4261,50.81,43,1.01,2013
southeast-sulawesi,Sulawesi Tenggara,2221448,1135,51.09,10,0.88,2013
gorontalo,Gorontalo,1012191,238,23.51,3,1.26,2013
west-sulawesi,Sulawesi Barat,1145922,500,43.63,0,0,2013
maluku,Maluku,1501359,33,2.2,0,0,2013
north-maluku,Maluku Utara,1106631,242,21.87,4,1.65,2013
special-region-of-west-papua,Papua Barat,564085,48,8.51,0,0,2013
special-region-of-papua,Papua,1793969,152,8.47,0,0,2013
