slug,province,population,total_cases,incident_rate,total_deaths,fatality_rate,year
special-region-of-aceh,Aceh,4731705,2208,46.66,7,0.32,2014
north-sumatera,Sumatera Utara,13527937,5378,39.75,30,0.56,2014
west-sumatera,Sumatera Barat,5098790,2328,45.66,10,0.43,2014
riau,Riau,6358636,2342,36.83,31,1.32,2014
jambi,Jambi,3412459,1308,38.33,16,1.22,2014
south-sumatera,Sumatera Selatan,7996535,1500,18.76,3,0.2,2014
bengkulu,Bengkulu,1828291,464,25.38,13,2.8,2014
lampung,Lampung,7972246,1317,16.52,16,1.21,2014
bangka-belitung-islands,Bangka Belitung,1380762,321,23.25,11,3.43,2014
riau-islands,Kepulauan Riau,2031895,1882,92.62,13,0.69,2014
jakarta-special-capital-region,DKI Jakarta,10135030,8447,83.34,9,0.11,2014
west-java,Jawa Barat,46300543,18116,39.13,178,0.98,2014
central-java,Jawa Tengah,32779832,11075,33.79,159,1.44,2014
special-region-of-yogyakarta,Yogyakarta,3594290,1955,54.39,11,0.56,2014
east-java,Jawa Timur,38529481,9273,24.07,107,1.15,2014
banten,Banten,11834087,3002,25.37,37,1.23,2014
bali,Bali,4225384,8629,204.22,17,0.2,2014
west-nusa-tenggara,Nusa Tenggara Barat,4702389,824,17.52,1,0.12,2014
east-nusa-tenggara,Nusa Tenggara Timur,5070746,167,3.29,0,0,2014
west-kalimantan,Kalimantan Barat,4546439,5049,111.05,68,1.35,2014
central-kalimantan,Kalimantan Tengah,2368654,880,37.15,12,1.36,2014
south-kalimantan,Kalimantan Selatan,3913908,828,21.16,17,2.05,2014
east-kalimantan,Kalimantan Timur,3508012,4752,135.46,55,1.16,2014
north-kalimantan,Kalimantan Utara,607729,781,128.51,4,0.51,2014
north-sulawesi,Sulawesi Utara,2382941,1271,53.34,23,1.81,2014
central-sulawesi,Sulawesi Tengah,2839290,1302,45.86,9,0.69,2014
south-sulawesi,Sulawesi Selatan,8395747,2904,34.59,24,0.83,2014
southeast-sulawesi,Sulawesi Tenggara,2417962,838,34.66,8,0.95,2014
gorontalo,Gorontalo,1134498,223,19.66,14,6.28,2014
west-sulawesi,Sulawesi Barat,1284620,315,24.52,0,0,2014
maluku,Maluku,1708190,12,0.7,2,16.67,2014
north-maluku,Maluku Utara,1141561,148,12.96,2,1.35,2014
special-region-of-west-papua,Papua Barat,877437,77,8.78,0,0,2014
special-region-of-papua,Papua,3486432,431,12.36,0,0,2014
